year,p10,p50,p90,index_p10,index_p50,index_p90,resid_90_50,resid_50_10,resid_half_90_10
2000,326.9230769230769,769.2307692307693,1730.7692307692307,100.0,99.99999999999999,100.0,0.6491406090012634,0.6670635244141817,0.6581020667077225
2001,346.15384615384613,769.2307692307693,1788.4615384615386,105.88235294117646,99.99999999999999,103.33333333333333,0.64905415021455,0.6659258506645629,0.6574900004395565
2002,346.15384615384613,769.2307692307693,1923.076923076923,105.88235294117646,99.99999999999999,111.11111111111111,0.6680988875537966,0.6566470177265539,0.6623729526401753
2003,346.15384615384613,788.4615384615385,1923.076923076923,105.88235294117646,102.49999999999999,111.11111111111111,0.6556267636087237,0.6763442826236004,0.665985523116162
2004,350.0,807.6923076923077,1923.076923076923,107.05882352941177,105.00000000000001,111.11111111111111,0.6549109855760571,0.6703536076678573,0.6626322966219572
2005,365.38461538461536,817.3201831199873,1923.076923076923,111.76470588235294,106.25162380559834,111.11111111111111,0.6644957306900979,0.6826956242709402,0.6735956774805191
2006,384.61538461538464,865.3846153846154,1942.3076923076924,117.64705882352942,112.49999999999999,112.22222222222224,0.660583381816754,0.6810478049511306,0.6708155933839424
2007,384.61538461538464,884.3120770839245,2057.6923076923076,117.64705882352942,114.96057002091018,118.88888888888889,0.66227031011755,0.6792409482033538,0.670755629160452
2008,400.0,959.8596934828155,2268.1923076923076,122.3529411764706,124.78176015276601,131.0511111111111,0.6681250091480165,0.6828800658105241,0.6755025374792702
2009,400.0,961.5384615384615,2211.5384615384614,122.3529411764706,125.0,127.77777777777779,0.6657998116301399,0.6896164333518242,0.677708122490982
2010,403.84615384615387,961.5384615384615,2250.0,123.52941176470591,125.0,130.0,0.6767457529052281,0.685554572339991,0.6811501626226095
2011,403.84615384615387,961.5384615384615,2307.6923076923076,123.52941176470591,125.0,133.33333333333331,0.683652506743546,0.6685801740547385,0.6761163403991423
2012,415.38461538461536,961.5384615384615,2307.6923076923076,127.05882352941177,125.0,133.33333333333331,0.6862799468721422,0.6729953251481313,0.6796376360101368
2013,403.84615384615387,961.5384615384615,2307.6923076923076,123.52941176470591,125.0,133.33333333333331,0.6921597511115443,0.6815728675528742,0.6868663093322092
2014,423.0769230769231,961.5384615384615,2403.846153846154,129.41176470588238,125.0,138.88888888888889,0.7153528969428097,0.6844285378364015,0.6998907173896056
2015,440.0,1000.0,2423.076923076923,134.58823529411765,130.0,140.0,0.6949450778612718,0.6930979429849063,0.6940215104230891
2016,461.53846153846155,1019.2307692307693,2500.0,141.1764705882353,132.5,144.44444444444446,0.7016290816016455,0.6763127401388963,0.6889709108702708
2017,480.7692307692308,1057.6923076923076,2692.3076923076924,147.05882352941177,137.5,155.55555555555557,0.7244724551645031,0.6835590799869585,0.7040157675757308
2018,480.7692307692308,1076.923076923077,2769.230769230769,147.05882352941177,139.99999999999997,159.99999999999997,0.6977830314921348,0.6830595675123187,0.6904212995022267
2019,500.0,1153.8461538461538,2884.6153846153848,152.94117647058823,149.99999999999997,166.66666666666669,0.6966768240372733,0.6900131223495097,0.6933449731933915
2020,538.4615384615385,1179.2612614785621,2884.6153846153848,164.7058823529412,153.30396399221306,166.66666666666669,0.7008797685582546,0.6618527451717025,0.6813662568649785
2021,576.9230769230769,1176.4705882352941,2937.5108900571317,176.47058823529412,152.94117647058823,169.72285142552317,0.7068364292578967,0.676044079726983,0.6914402544924398
2022,576.9230769230769,1250.0,3076.923076923077,176.47058823529412,162.5,177.77777777777777,0.6990360717562858,0.6652283253412101,0.682132198548748
2023,596.1538461538462,1346.1538461538462,3173.076923076923,182.3529411764706,175.0,183.33333333333334,0.6807946520489041,0.6717675036632835,0.6762810778560938
2024,625.0,1384.6153846153845,3365.3750554638755,191.1764705882353,179.99999999999997,194.44389209346835,0.7232471223249524,0.6793564982955754,0.701301810310264
